2023-03-28 17:13:37 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:19:02 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:20:10 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:20:57 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:21:37 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:22:23 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:25:10 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:25:27 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:26:14 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:26:43 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:32:10 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:32:27 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
2023-03-28 17:32:40 | 127.0.0.1 | UID: 1 | GET /api/publicaciones : getPublicaciones (200)
